"code","iso","country","SNM.ind.1995","SNM.ind.1996","SNM.ind.1997","SNM.ind.1998","SNM.ind.1999","SNM.ind.2000","SNM.ind.2001","SNM.ind.2002","SNM.ind.2003","SNM.ind.2004","SNM.ind.2005","SNM.ind.2006","SNM.ind.2007","SNM.ind.2008","SNM.ind.2009","SNM.ind.2010","SNM.ind.2011","SNM.ind.2012","SNM.ind.2013","SNM.ind.2014","SNM.ind.2015","SNM.ind.2016","SNM.ind.2017","SNM.ind.2018","SNM.ind.2019","SNM.ind.2020"
68,"BOL","Bolivia",54.5677846514728,52.7909065693981,54.2292018906852,54.849366566079,56.6454442254206,57.2603497630636,56.9724045623538,56.9368510209715,57.3133325439071,60.9941973693563,59.5625484265279,59.2418849647645,55.696826280481,53.1334681968809,61.2153219135344,55.597308518482,55.3234100692834,64.2641430894361,66.5788754593769,64.7323960607794,68.9321491821834,68.9321491821834,68.9321491821834,68.9321491821834,68.9321491821834,68.9321491821834
70,"BIH","Bosnia and Herzegovina",42.4146518614311,51.8440691441697,58.435770009765,46.847888060594,45.3101333174376,44.1378488124665,41.6657819114566,47.8977213165813,37.7835709323897,43.5307822479147,45.0963684351987,46.9550380881314,35.0012539099635,50.1190822410465,35.2034601057106,30.3401748410385,26.668660484364,22.0214850757777,27.9784819625224,26.4012297045194,25.1420113112272,25.1420113112272,25.1420113112272,25.1420113112272,25.1420113112272,25.1420113112272
72,"BWA","Botswana",9.37195542888345,11.7458898926722,7.4103937024861,5.2734668085734,5.41194636561372,4.0865790933458,8.92170933210103,15.0364843092638,14.4996211809187,12.7063982037897,12.2298068017335,14.7775471232542,16.435271104434,14.456389114752,4.68047888945151,4.02080214180917,9.46464031919373,4.30912516235398,1.87524776535071,3.13981952348071,4.76231338121548,4.76231338121548,4.76231338121548,4.76231338121548,4.76231338121548,4.76231338121548
76,"BRA","Brazil",51.7372569508196,50.656719653418,52.3206385635286,54.6061607452715,54.9236729940384,55.3583740937037,60.9813220391997,59.8503742718897,62.8191577858399,61.34109513593,63.7720516124221,62.1686609770585,62.7947583683823,65.6782545690138,61.3017225486359,62.1515273554686,61.3945699915361,62.4371671521969,62.8168343379719,64.3363449417492,65.0015229766015,65.0015229766015,65.0015229766015,65.0015229766015,65.0015229766015,65.0015229766015
92,"VGB","British Virgin Islands",7.82338420460366,7.92260173910348,7.99204543258928,8.08869033065967,7.87977330240331,7.88932663929823,7.90399378569748,7.91207656535387,7.93164229072238,7.91936488564599,7.94529108250781,8.36986173033951,7.97831544743374,8.00811476518074,8.02898469672868,8.03217708479094,8.01832365284312,7.24010580046995,8.0590497954953,8.09057292360713,2.27604060819684,2.27604060819684,2.27604060819684,2.27604060819684,2.27604060819684,2.27604060819684
96,"BRN","Brunei Darussalam",0.585327323580799,0.607137350104054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208767957346367,0.000208767957346367,0.000208767957346367,0.000208767957346367,0.000208767957346367,0.000208767957346367
100,"BGR","Bulgaria",59.0231243485592,43.2674692517139,51.4338790005743,47.625554313539,50.8637657709753,46.7178215599014,50.0052885550783,45.4846898648534,30.2804774690633,54.6310044194441,51.3114270033147,57.4514467592608,53.7406970821773,62.3764416654892,49.8447026015788,59.2241442288087,52.3825009404941,61.433969576591,67.3238706356398,66.7648563039969,63.6196341930881,63.6196341930881,63.6196341930881,63.6196341930881,63.6196341930881,63.6196341930881
854,"BFA","Burkina Faso",37.5246303149623,38.4924608865266,36.1332286885756,38.2187113235389,37.7956121155315,36.3887271910343,41.075819483922,40.7201855019036,38.4685797785082,37.4131303677962,40.2109240584273,39.1079433605432,37.3769665719828,40.5405087955061,37.5501309000452,38.4416202057581,36.7537322730334,39.7827517510738,39.9757937482765,41.5700772536658,39.6521220636993,39.6521220636993,39.6521220636993,39.6521220636993,39.6521220636993,39.6521220636993
108,"BDI","Burundi",42.1583071831122,41.0857006797104,41.0532230152285,40.1218983695936,38.4561563645255,38.0429139016317,39.7009269721456,39.8683754646806,40.1938362255983,39.5594907509987,39.116126250207,39.1449141233426,40.4145659113319,39.0288796151083,40.01315582518,38.480167966363,37.5192556071068,32.7365670440276,34.4681651959613,34.3525888682799,36.979442593669,36.979442593669,36.979442593669,36.979442593669,36.979442593669,36.979442593669
132,"CPV","Cabo Verde",2.95893416984913,8.92468924037681,4.02650919909301,3.71404361103065,6.01726123379932,9.52859700874346,12.838903203698,7.91742161492463,10.7235350223003,10.2527800885446,8.72062837709139,8.32260044834965,7.49589772568837,8.07204856015925,7.16784771634667,6.98888129629179,14.8946306724266,15.6357398850703,15.7090988419679,11.4894021910125,16.7363840752763,16.7363840752763,16.7363840752763,16.7363840752763,16.7363840752763,16.7363840752763
116,"KHM","Cambodia",34.2275644186449,34.7317100430168,32.4894972445676,34.8174873846653,38.6494240751364,41.3281947723417,41.0894116182594,37.394944857339,42.3831627620803,46.4629445129742,49.9562330352899,49.9903961705485,53.5173001418568,55.5016093791754,57.7440271381689,59.0845344969063,58.5203315870852,59.3906334544005,61.1791798087299,60.3602364991297,58.9865014687217,58.9865014687217,58.9865014687217,58.9865014687217,58.9865014687217,58.9865014687217
120,"CMR","Cameroon",32.3222913954876,33.4881961892679,32.2267406445255,33.094586338022,31.7363497621257,33.7232958203235,33.302306166408,34.2771281313055,34.8292597045944,33.5714052004123,38.5663788335372,38.8473071755055,39.9812446725262,39.8473689334079,40.1693192549759,39.7173230624227,39.3615602797432,40.9251478319901,40.6618375590994,41.8193664643977,40.4428721506607,40.4428721506607,40.4428721506607,40.4428721506607,40.4428721506607,40.4428721506607
124,"CAN","Canada",58.6003598549817,62.434333271853,57.6492975813049,61.601960368358,65.7381061245459,64.0721247894397,56.4685144101027,57.9237632538491,58.9995352085537,67.672265100673,67.6096478151087,70.644919580772,58.3535150315547,71.5716179556508,69.3622564816575,66.7043221288532,64.2164133535549,61.4520072377297,67.6723220537563,65.5727799373478,67.2925718238346,67.2925718238346,67.2925718238346,67.2925718238346,67.2925718238346,67.2925718238346
136,"CYM","Cayman Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"CAF","Central African Republic",26.1033467846041,26.8376076871092,27.359745879549,26.9895791585596,27.5412546457327,26.4251167108942,27.5946585200165,26.7410298788545,26.1495568590377,26.0360364163007,26.0680831598544,26.2489819470731,26.338620838119,24.9301797252271,25.0334787498161,23.6582466839513,22.5763001617991,23.0079188089661,25.5682279331038,21.6901640546652,21.8515413557195,21.8515413557195,21.8515413557195,21.8515413557195,21.8515413557195,21.8515413557195
148,"TCD","Chad",35.0826804602508,34.9374774908835,36.0049589431663,34.7660750534564,34.5324929289161,31.6376756452953,34.3538063172368,37.9954064489729,38.1789766308078,38.2330076666888,38.7474340966706,38.2035250614321,38.0022420921604,38.3783278684976,36.2132731154674,38.7157272909682,37.1975470369985,39.5903733878116,39.3231066092698,39.4146653746595,38.7383328262467,38.7383328262467,38.7383328262467,38.7383328262467,38.7383328262467,38.7383328262467
152,"CHL","Chile",43.889224145747,40.756698622957,43.871578885425,46.4888603963622,39.6354495154224,42.0175106909175,45.815386007349,45.9394527324599,48.8614975904678,46.2797091051953,49.3380800614463,46.4617556567132,41.2017791541729,39.0911191408404,41.6396714414095,42.544111750502,45.423653426848,42.3019741085233,44.369592498351,40.9248390961245,40.1926078554753,40.1926078554753,40.1926078554753,40.1926078554753,40.1926078554753,40.1926078554753
156,"CHN","China",45.2007060774109,45.3390359414854,47.348476830199,47.7758293562865,47.456013241197,46.9947685796542,46.7937375573571,45.8962231140729,44.9026683464963,46.6512496846093,46.7843571941856,47.5801357026305,47.7520916350036,48.845530254875,48.2402409133173,48.49126882144,49.4411039409749,49.1609381716642,49.3748861386082,49.4580463070517,49.4744594040891,49.4744594040891,49.4744594040891,49.4744594040891,49.4744594040891,49.4744594040891
170,"COL","Colombia",24.4702601693602,23.4575053661573,23.3236581865638,21.7696639427788,23.1458120684322,23.2348780334407,23.5341611531495,23.3963950116792,25.1465896839537,26.0023938697058,23.1418738737658,21.4733747102498,22.4608904168901,24.3386159594344,22.1213781634872,20.7358963019075,21.9224314209446,21.4669706144768,23.1327118180275,22.1261220114101,22.3285486481975,22.3285486481975,22.3285486481975,22.3285486481975,22.3285486481975,22.3285486481975
174,"COM","Comoros",35.3929135306842,35.186482906371,35.0719964556873,35.1029670579511,35.014162368036,35.2587867470362,35.0180213983159,35.7454283025503,35.846573496803,35.8292686048873,36.3070279656637,35.9821551421429,35.917572372605,35.9489057998735,36.4255281518911,36.8807170214925,37.0274302285642,37.116661037339,37.4470066579134,37.5058786291275,37.2634777968997,37.2634777968997,37.2634777968997,37.2634777968997,37.2634777968997,37.2634777968997
184,"COK","Cook Islands",9.92754728340483,8.49083272245346,7.57540447237585,8.55447739912509,9.49033093558599,10.6440414886113,11.7122794172297,11.2813437635645,9.29884813488061,8.40757889001638,8.42264681159558,8.03392058019402,8.61834394282741,7.75444718247576,7.31620193949477,7.23086732722882,6.74465060550436,5.91114771887639,6.1333137681043,5.8560642623072,5.19996136795461,5.19996136795461,5.19996136795461,5.19996136795461,5.19996136795461,5.19996136795461
188,"CRI","Costa Rica",19.1352472768175,18.5110699476277,19.0224619532511,19.2200193468119,19.818859514065,21.1850480401671,22.2137843436274,22.4292723279852,19.3446770570264,20.5238400274716,18.2974758343578,20.6606805498612,20.6414134885298,20.3023735810383,20.544433966051,21.0048793200187,20.1246133739805,19.7776024029345,20.0353902669072,20.0372811691681,19.4146250451728,19.4146250451728,19.4146250451728,19.4146250451728,19.4146250451728,19.4146250451728
384,"CIV","Cote d'Ivoire",26.4125599862406,27.2182327809463,25.6272531453624,29.398771239843,31.301784073554,32.492564534527,33.1154655171119,34.4687845544796,34.9772889853921,30.9737049543814,34.7388971339861,34.612891830171,31.789107283519,32.638394438384,31.5179434962523,31.8452917037415,32.7774753396582,31.875922893005,33.3729325065231,32.1831556006749,31.9750847426509,31.9750847426509,31.9750847426509,31.9750847426509,31.9750847426509,31.9750847426509
191,"HRV","Croatia",52.1808968480787,50.2703478600828,48.0533217746342,58.9806276099703,54.2771812275668,47.6794591942163,56.8542336950309,55.4837425612665,45.8815888398731,51.9742047352248,56.1436428834312,48.6461760069996,42.5097087995478,46.4757181780053,69.0039358532416,58.6110652012921,53.8002817706406,63.8565382478104,72.392035208962,71.7040344248082,65.3990957450885,65.3990957450885,65.3990957450885,65.3990957450885,65.3990957450885,65.3990957450885
