"code","iso","country","PMD.ind.1995","PMD.ind.1996","PMD.ind.1997","PMD.ind.1998","PMD.ind.1999","PMD.ind.2000","PMD.ind.2001","PMD.ind.2002","PMD.ind.2003","PMD.ind.2004","PMD.ind.2005","PMD.ind.2006","PMD.ind.2007","PMD.ind.2008","PMD.ind.2009","PMD.ind.2010","PMD.ind.2011","PMD.ind.2012","PMD.ind.2013","PMD.ind.2014","PMD.ind.2015","PMD.ind.2016","PMD.ind.2017","PMD.ind.2018","PMD.ind.2019","PMD.ind.2020"
578,"NOR","Norway",70.2294848462496,70.2294848462496,70.2294848462496,70.2294848462496,70.2294848462496,70.2294848462496,72.0917450990488,73.9540053518478,75.816265604647,77.6785258574462,79.5407861102454,81.4030463630444,83.2653066158436,85.1275668686429,86.9898271214418,88.852087374241,91.2294544737321,93.6068215732231,95.9841886727139,98.3615557722049,100,100,100,100,100,100
512,"OMN","Oman",1.4949338866892,1.4949338866892,1.4949338866892,1.4949338866892,1.4949338866892,1.4949338866892,1.80497240493526,2.11501092318129,2.42504944142706,2.73508795967308,3.0451264779191,3.35516499616517,3.66520351441119,3.97524203265696,4.28528055090298,4.59531906914907,5.23384514555546,5.87237122196215,6.5108972983686,7.149423374775,7.78794945118169,8.7702357637861,9.75252207639049,10.7348083889949,11.7170947015993,11.7170947015993
586,"PAK","Pakistan",22.3657397864007,22.3657397864007,22.3657397864007,22.3657397864007,22.3657397864007,22.3657397864007,21.4769122860868,20.5880847857728,19.6992572854589,18.8104297851449,17.9216022848309,17.032774784517,16.143947284203,15.2551197838891,14.3662922835751,13.4774647832612,12.440433152431,11.4034015216012,10.3663698907711,9.32933825994125,8.29230662911114,8.34575234570485,8.39919806229852,8.45264377889225,8.50608949548595,8.50608949548595
585,"PLW","Palau",49.9049494450213,49.9049494450213,49.9049494450213,49.9049494450213,49.9049494450213,49.9049494450213,50.8297419824626,51.7545345199039,52.6793270573452,53.6041195947865,54.5289121322278,55.4537046696691,56.3784972071104,57.3032897445517,58.228082281993,59.1528748194343,54.3286539753844,49.5044331313342,44.6802122872843,39.8559914432341,35.0317705991842,38.7065580244201,42.381345449656,46.0561328748916,49.7309203001275,49.7309203001275
591,"PAN","Panama",55.6533260581707,55.6533260581707,55.6533260581707,55.6533260581707,55.6533260581707,55.6533260581707,55.743507528626,55.8336889990809,55.9238704695362,56.0140519399911,56.1042334104464,56.1944148809016,56.2845963513566,56.3747778218118,56.4649592922668,56.555140762722,56.3592868258917,56.1634328890616,55.9675789522312,55.7717250154012,55.5758710785708,57.1062531433078,58.6366352080445,60.1670172727815,61.6973993375185,61.6973993375185
598,"PNG","Papua New Guinea",56.0888056825666,56.0888056825666,56.0888056825666,56.0888056825666,56.0888056825666,56.0888056825666,55.5966317934765,55.104457904386,54.6122840152956,54.1201101262054,53.627936237115,53.1357623480249,52.6435884589347,52.1514145698443,51.6592406807538,51.1670667916637,51.0667766946714,50.9664865976791,50.8661965006868,50.7659064036945,50.6656163067022,50.3503279269314,50.0350395471606,49.7197511673895,49.4044627876187,49.4044627876187
600,"PRY","Paraguay",57.4171058706993,57.4171058706993,57.4171058706993,57.4171058706993,57.4171058706993,57.4171058706993,57.3257844656707,57.2344630606424,57.1431416556139,57.0518202505856,56.960498845557,56.8691774405285,56.7778560355002,56.6865346304716,56.5952132254433,56.5038918204147,57.6097903488513,58.7156888772878,59.8215874057247,60.9274859341613,62.0333844625979,61.2831960612603,60.5330076599225,59.7828192585849,59.0326308572471,59.0326308572471
604,"PER","Peru",42.3479633034222,42.3479633034222,42.3479633034222,42.3479633034222,42.3479633034222,42.3479633034222,42.5411300392752,42.7342967751279,42.927463510981,43.1206302468337,43.3137969826865,43.5069637185395,43.7001304543925,43.8932971902453,44.086463926098,44.2796306619511,44.8113775645785,45.3431244672058,45.8748713698335,46.4066182724609,46.9383651750883,47.1022650383258,47.2661649015633,47.4300647648008,47.5939646280383,47.5939646280383
608,"PHL","Philippines",31.9444860049891,31.9444860049891,31.9444860049891,31.9444860049891,31.9444860049891,31.9444860049891,32.0094675353562,32.074449065723,32.1394305960902,32.2044121264573,32.2693936568244,32.3343751871912,32.3993567175583,32.4643382479254,32.5293197782922,32.5943013086594,32.8313229986743,33.0683446886896,33.3053663787046,33.5423880687199,33.7794097587349,33.8781259480878,33.9768421374408,34.0755583267937,34.1742745161466,34.1742745161466
616,"POL","Poland",25.4637811698482,25.4637811698482,25.4637811698482,25.4637811698482,25.4637811698482,25.4637811698482,26.1776437833251,26.8915063968023,27.6053690102791,28.319231623756,29.0330942372329,29.7469568507101,30.4608194641869,31.1746820776638,31.888544691141,32.6024073046178,34.0078745499535,35.4133417952891,36.8188090406244,38.22427628596,39.6297435312956,39.9091873467401,40.1886311621847,40.4680749776292,40.7475187930737,40.7475187930737
