"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020"
531,"CUW","Curacao",43.3203,43.3203,43.3203,43.3203,43.3203,43.3203,43.3203,43.3203,43.3203,43.3203,43.3203,43.18606,43.05182,42.91758,42.78334,42.6491,42.50806,42.36702,42.22598,42.08494,41.9439,41.9439,41.9439,41.9439,41.9439,41.9439
196,"CYP","Cyprus",36.233,36.233,36.233,36.233,36.233,36.233,36.233,36.233,36.233,36.233,36.233,36.28532,36.33764,36.38996,36.44228,36.4946,36.48564,36.47668,36.46772,36.45876,36.4498,36.4498,36.4498,36.4498,36.4498,36.4498
203,"CZE","Czech Republic",49.3519,49.3519,49.3519,49.3519,49.3519,49.3519,49.3519,49.3519,49.3519,49.3519,49.3519,49.407,49.4621,49.5172,49.5723,49.6274,49.47798,49.32856,49.17914,49.02972,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803
180,"COD","Dem. Rep. Congo",74.5233,74.5233,74.5233,74.5233,74.5233,74.5233,74.5233,74.5233,74.5233,74.5233,74.5233,74.42206,74.32082,74.21958,74.11834,74.0171,74.0171,74.0171,74.0171,74.0171,74.0171,74.0171,74.0171,74.0171,74.0171,74.0171
208,"DNK","Denmark",45.4096,45.4096,45.4096,45.4096,45.4096,45.4096,45.4096,45.4096,45.4096,45.4096,45.4096,45.3663,45.323,45.2797,45.2364,45.1931,45.04668,44.90026,44.75384,44.60742,44.461,44.461,44.461,44.461,44.461,44.461
262,"DJI","Djibouti",64.3289,64.3289,64.3289,64.3289,64.3289,64.3289,64.3289,64.3289,64.3289,64.3289,64.3289,64.32666,64.32442,64.32218,64.31994,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177
212,"DMA","Dominica",46.2925,46.2925,46.2925,46.2925,46.2925,46.2925,46.2925,46.2925,46.2925,46.2925,46.2925,46.3108,46.3291,46.3474,46.3657,46.384,45.97498,45.56596,45.15694,44.74792,44.3389,44.3389,44.3389,44.3389,44.3389,44.3389
214,"DOM","Dominican Republic",44.4405,44.4405,44.4405,44.4405,44.4405,44.4405,44.4405,44.4405,44.4405,44.4405,44.4405,44.52986,44.61922,44.70858,44.79794,44.8873,44.72672,44.56614,44.40556,44.24498,44.0844,44.0844,44.0844,44.0844,44.0844,44.0844
218,"ECU","Ecuador",50.2488,50.2488,50.2488,50.2488,50.2488,50.2488,50.2488,50.2488,50.2488,50.2488,50.2488,50.10306,49.95732,49.81158,49.66584,49.5201,49.4017,49.2833,49.1649,49.0465,48.9281,48.9281,48.9281,48.9281,48.9281,48.9281
818,"EGY","Egypt",77.0924,77.0924,77.0924,77.0924,77.0924,77.0924,77.0924,77.0924,77.0924,77.0924,77.0924,77.08886,77.08532,77.08178,77.07824,77.0747,77.07282,77.07094,77.06906,77.06718,77.0653,77.0653,77.0653,77.0653,77.0653,77.0653
