,country,year,DMT
355,Macedonia,1998,-22.8304430694585
356,Madagascar,1998,-20.985121961133
357,Malawi,1998,-21.495566794335
358,Malaysia,1998,-22.4272466136586
359,Maldives,1998,
360,Mali,1998,-20.9697091825425
361,Malta,1998,-24.36421680368
362,Marshall Islands,1998,-22.4740160214675
363,Martinique,1998,
364,Mauritania,1998,-21.2787889551094
365,Mauritius,1998,-23.169067012731
366,Mayotte,1998,
367,Mexico,1998,-22.9653352294829
368,Micronesia,1998,-22.8463422921526
369,Moldova,1998,-21.5628123763298
370,Monaco,1998,
371,Mongolia,1998,-20.8059981809571
372,Montenegro,1998,-23.2661178242946
373,Montserrat,1998,
374,Morocco,1998,-23.326878846367
375,Mozambique,1998,-20.5474385464297
376,Myanmar,1998,-20.5987912123753
377,Namibia,1998,-21.6880790086334
378,Nauru,1998,
379,Nepal,1998,-21.3224563329784
380,Netherlands,1998,-24.0238262557168
381,Netherlands Antilles,1998,
382,New Caledonia,1998,
383,New Zealand,1998,-22.0773258010975
384,Nicaragua,1998,-21.8407403092266
385,Niger,1998,-20.6997103757092
386,Nigeria,1998,-21.6347392602782
387,Niue,1998,
388,Norfolk Island,1998,
389,North Korea,1998,
390,Northern Mariana Islands,1998,
391,Norway,1998,-24.6558353434882
392,Oman,1998,-21.6384955347007
393,Pakistan,1998,-22.4990708585162
394,Palau,1998,-23.8123175244837
395,Panama,1998,-22.8276640663651
396,Papua New Guinea,1998,-20.9426631732728
397,Paraguay,1998,-21.3314829433007
398,Peru,1998,-22.8452811426323
399,Philippines,1998,-22.7181703834662
400,Pitcairn,1998,
401,Poland,1998,-23.2321370959306
402,Portugal,1998,-23.8117212764619
403,Puerto Rico,1998,
404,Qatar,1998,
405,Republic of Congo,1998,-22.807263420553
406,Reunion,1998,
407,Romania,1998,-22.7781125092089
408,Russia,1998,-22.0108400363768
409,Rwanda,1998,-21.4044459392412
410,Saint Helena,1998,
411,Saint Kitts and Nevis,1998,-23.3029238227447
412,Saint Lucia,1998,-21.5347068316519
413,Saint Pierre and Miquelon,1998,
414,Saint Vincent and the Grenadines,1998,-23.2711830397902
415,Samoa,1998,-21.9806367180994
416,San Marino,1998,
417,Sao Tome and Principe,1998,
418,Saudi Arabia,1998,-24.0756064592148
419,Senegal,1998,-21.504997773204
420,Serbia,1998,-22.4979834306476
421,Seychelles,1998,-24.0092531481825
