,country,year,GPD
769,Eritrea,2000,6667688741.0
770,Estonia,2000,21936895715.7011
771,Ethiopia,2000,41136187141.9482
772,Faeroe Islands,2000,
773,Falkland Islands,2000,
774,Fiji,2000,5413978507.32582
775,Finland,2000,180583328884.027
776,France,2000,2125626191792.01
777,French Guiana,2000,
778,French Polynesia,2000,
779,Gabon,2000,21892436565.2856
780,Gambia,2000,1922228573.45655
781,Georgia,2000,14439052849.9858
782,Germany,2000,3022470159181.13
783,Ghana,2000,42783750539.5858
784,Gibraltar,2000,
785,Greece,2000,268406285140.34
786,Greenland,2000,
787,Grenada,2000,980774641.896593
788,Guadeloupe,2000,
789,Guam,2000,
790,Guatemala,2000,70728320145.7448
791,Guinea,2000,9961001009.63035
792,Guinea-Bissau,2000,1691156113.08932
793,Guyana,2000,3399427623.45952
794,Haiti,2000,14870414490.9602
795,Holy See,2000,
796,Honduras,2000,21716145048.1263
797,Hong Kong,2000,226721887917.892
798,Hungary,2000,182317329805.702
799,Iceland,2000,9588330169.92215
800,India,2000,2656187639043.29
