,country,year,DPT
507,Canada,2007,210.858
508,Cape Verde,2007,
509,Cayman Islands,2007,
510,Central African Republic,2007,
511,Chad,2007,
512,Chile,2007,383.025
513,China,2007,770.0181
514,Colombia,2007,129.2264
515,Comoros,2007,
516,Cook Islands,2007,
517,Costa Rica,2007,72.2397
518,Cote d'Ivoire,2007,411.0705
519,Croatia,2007,378.0413
520,Cuba,2007,756.8525
521,Curacao,2007,695.8193
522,Cyprus,2007,768.3186
523,Czech Republic,2007,560.772
524,Dem. Rep. Congo,2007,6.6668
525,Denmark,2007,326.489
526,Djibouti,2007,
527,Dominica,2007,
528,Dominican Republic,2007,619.2684
529,Ecuador,2007,337.1431
530,Egypt,2007,441.8708
531,El Salvador,2007,319.7073
532,Equatorial Guinea,2007,
533,Eritrea,2007,950.9722
534,Estonia,2007,759.584
535,Ethiopia,2007,44.3042
536,Faeroe Islands,2007,
537,Falkland Islands,2007,
538,Fiji,2007,
539,Finland,2007,241.299
540,France,2007,90.732
541,French Guiana,2007,
542,French Polynesia,2007,
543,Gabon,2007,428.0531
544,Gambia,2007,
545,Georgia,2007,165.3679
546,Germany,2007,481.586
547,Ghana,2007,363.2663
548,Gibraltar,2007,758.7032
549,Greece,2007,761.978
550,Greenland,2007,
551,Grenada,2007,
552,Guadeloupe,2007,
553,Guam,2007,
554,Guatemala,2007,374.2838
555,Guinea,2007,
556,Guinea-Bissau,2007,
557,Guyana,2007,
558,Haiti,2007,517.6966
559,Holy See,2007,
560,Honduras,2007,422.5804
561,Hong Kong,2007,788.6726
562,Hungary,2007,348.537
563,Iceland,2007,1.0
564,India,2007,796.9923
565,Indonesia,2007,780.0128
566,Iran,2007,550.8384
567,Iraq,2007,453.1167
568,Ireland,2007,515.042
569,Isle of Man,2007,
570,Israel,2007,783.593
571,Italy,2007,444.014
572,Jamaica,2007,620.2343
573,Japan,2007,467.917
574,Jordan,2007,591.4308
575,Kazakhstan,2007,498.81
576,Kenya,2007,258.2337
577,Kiribati,2007,
578,Kosovo,2007,1090.5115
579,Kuwait,2007,789.4296
580,Kyrgyzstan,2007,103.2729
581,Laos,2007,
582,Latvia,2007,164.9708
583,Lebanon,2007,668.8105
584,Lesotho,2007,
585,Liberia,2007,
586,Libya,2007,786.1088
587,Liechtenstein,2007,
588,Lithuania,2007,121.5502
589,Luxembourg,2007,321.023
590,Macao,2007,
591,Macedonia,2007,776.6612
592,Madagascar,2007,
593,Malawi,2007,
594,Malaysia,2007,651.1812
595,Maldives,2007,
