,country,year,DNT
454,Turks and Caicos Islands,1998,
455,Tuvalu,1998,-23.9006244396409
456,Uganda,1998,-21.6711407098764
457,Ukraine,1998,-23.0435943995154
458,United Arab Emirates,1998,-25.0468109377605
459,United Kingdom,1998,-24.4905332838372
460,United States of America,1998,-24.4262997954753
461,United States Virgin Islands,1998,
462,Uruguay,1998,-22.5296092572592
463,Uzbekistan,1998,-22.4495201510697
464,Vanuatu,1998,-22.0340676796817
465,Venezuela,1998,-24.1234920766345
466,Viet Nam,1998,-22.9491528478399
467,Wallis and Futuna Islands,1998,
468,Western Sahara,1998,
469,Yemen,1998,-23.8957566508681
470,Zambia,1998,-20.1595667061789
471,Zimbabwe,1998,-22.3348702904368
472,Afghanistan,1999,
473,Albania,1999,-23.2907471169361
474,Algeria,1999,-24.8863604784606
475,American Samoa,1999,
476,Andorra,1999,
477,Angola,1999,-21.7002888328367
478,Anguilla,1999,
479,Antigua and Barbuda,1999,-25.1978985439961
480,Argentina,1999,-23.3520088531826
481,Armenia,1999,-23.5028934101025
482,Aruba,1999,
483,Australia,1999,-22.6308066933923
484,Austria,1999,-24.8043141169304
485,Azerbaijan,1999,-23.3034898812959
486,Bahamas,1999,-25.6510880720143
487,Bahrain,1999,-27.3513271144481
488,Bangladesh,1999,-22.9362619874259
489,Barbados,1999,-25.0103618206239
490,Belarus,1999,-22.5109134980695
491,Belgium,1999,-24.3356684836107
492,Belize,1999,-22.8227009754902
493,Benin,1999,-22.1492846624447
494,Bermuda,1999,
495,Bhutan,1999,-23.3350667869236
496,Bolivia,1999,-22.0079045855238
497,Bosnia and Herzegovina,1999,-23.2116142216975
498,Botswana,1999,-21.654249316262
499,Brazil,1999,-23.3706425007066
500,British Virgin Islands,1999,
501,Brunei Darussalam,1999,-26.495275755212
502,Bulgaria,1999,-23.6764933643816
503,Burkina Faso,1999,-21.2716853892066
504,Burundi,1999,-22.1710478127988
505,Cambodia,1999,-21.8673353299797
506,Cameroon,1999,-20.1463373396755
507,Canada,1999,-23.7428815776675
508,Cape Verde,1999,-23.5392762937192
509,Cayman Islands,1999,
510,Central African Republic,1999,-18.5197060394597
511,Chad,1999,-20.5276710537357
512,Chile,1999,-24.2528660421198
513,China,1999,-23.1817752206964
514,Colombia,1999,-23.5361017802209
515,Comoros,1999,-23.3488636839406
516,Cook Islands,1999,
517,Costa Rica,1999,-23.8212436093432
518,Cote d'Ivoire,1999,-23.4047400136848
519,Croatia,1999,-24.0681862385544
520,Cuba,1999,-24.0853998996991
521,Curacao,1999,
522,Cyprus,1999,-24.9207020009001
523,Czech Republic,1999,-24.3227887857559
524,Dem. Rep. Congo,1999,-21.109548048852
525,Denmark,1999,-24.2525600646175
526,Djibouti,1999,-22.4935059122071
527,Dominica,1999,-24.0292172632284
528,Dominican Republic,1999,-24.0576123245681
529,Ecuador,1999,-23.7432709842652
530,Egypt,1999,-24.2948205438634
531,El Salvador,1999,-23.9609733689564
532,Equatorial Guinea,1999,-26.5989649443623
533,Eritrea,1999,-21.3941008481681
534,Estonia,1999,-22.9506944000953
535,Ethiopia,1999,-20.9901936979025
536,Faeroe Islands,1999,
537,Falkland Islands,1999,
538,Fiji,1999,-23.4195761428057
539,Finland,1999,-23.4613983314633
540,France,1999,-24.3130243616881
541,French Guiana,1999,
542,French Polynesia,1999,
543,Gabon,1999,-24.5848472204045
544,Gambia,1999,-22.1914214238753
545,Georgia,1999,-22.7964825325206
546,Germany,1999,-24.6781084186047
547,Ghana,1999,-22.9819896036629
548,Gibraltar,1999,
549,Greece,1999,-24.3193522427671
550,Greenland,1999,
551,Grenada,1999,-25.6834453711644
552,Guadeloupe,1999,
553,Guam,1999,
554,Guatemala,1999,-23.7166358706136
555,Guinea,1999,-21.8504621847193
556,Guinea-Bissau,1999,-21.5668402307763
557,Guyana,1999,-22.196948906763
558,Haiti,1999,-23.0083302798352
559,Holy See,1999,
560,Honduras,1999,-22.8478102990499
561,Hong Kong,1999,
562,Hungary,1999,-23.8889380976173
563,Iceland,1999,-24.1946792561103
564,India,1999,-23.2946360099247
565,Indonesia,1999,-23.4794003620464
566,Iran,1999,-24.2277161163689
567,Iraq,1999,-25.0274752584705
568,Ireland,1999,-23.3229243692544
569,Isle of Man,1999,
570,Israel,1999,-25.5430715776324
571,Italy,1999,-24.901172303702
572,Jamaica,1999,-24.3077089591747
573,Japan,1999,-25.8094063494856
574,Jordan,1999,-24.892321438533
575,Kazakhstan,1999,-23.6602018512285
576,Kenya,1999,-22.5298554339747
577,Kiribati,1999,-24.8880296868708
578,Kosovo,1999,
579,Kuwait,1999,-27.1100672989101
580,Kyrgyzstan,1999,-22.6806128825206
581,Laos,1999,-22.3455689517381
582,Latvia,1999,-23.2131003360484
583,Lebanon,1999,-25.0269325404138
584,Lesotho,1999,-22.0904238976745
585,Liberia,1999,-23.0925906483181
586,Libya,1999,-25.2995363689507
587,Liechtenstein,1999,
588,Lithuania,1999,-22.8789877215294
589,Luxembourg,1999,-25.238544867846
590,Macao,1999,
591,Macedonia,1999,-23.797208175019
592,Madagascar,1999,-21.643499478694
593,Malawi,1999,-22.450193228958
594,Malaysia,1999,-24.3930450605259
595,Maldives,1999,
596,Mali,1999,-21.2475144748783
597,Malta,1999,-25.8583712140491
598,Marshall Islands,1999,-26.6429101753874
599,Martinique,1999,
600,Mauritania,1999,-21.8006521446964
601,Mauritius,1999,-24.4426254766748
602,Mayotte,1999,
603,Mexico,1999,-24.3071249271974
604,Micronesia,1999,-23.6988851504011
605,Moldova,1999,-22.9652852575802
606,Monaco,1999,
