,country,year,DCT
365,Mauritius,1998,-22.6050619103027
366,Mayotte,1998,
367,Mexico,1998,-22.05391909964
368,Micronesia,1998,-21.730334392222
369,Moldova,1998,-20.7344185515263
370,Monaco,1998,
371,Mongolia,1998,-20.9451288971485
372,Montenegro,1998,
373,Montserrat,1998,
374,Morocco,1998,-22.1254761624343
375,Mozambique,1998,-22.712417413757
376,Myanmar,1998,-22.5163098200031
377,Namibia,1998,-22.3678224695787
378,Nauru,1998,
379,Nepal,1998,-23.3689088094972
380,Netherlands,1998,-22.0077310505702
381,Netherlands Antilles,1998,
382,New Caledonia,1998,
383,New Zealand,1998,-22.0260145569683
384,Nicaragua,1998,-22.2093681661198
385,Niger,1998,-22.930056484482
386,Nigeria,1998,-22.1757615670586
387,Niue,1998,
388,Norfolk Island,1998,
389,North Korea,1998,
390,Northern Mariana Islands,1998,
391,Norway,1998,-22.6121489328219
392,Oman,1998,-22.4171596256505
393,Pakistan,1998,-22.2994726845196
394,Palau,1998,-20.884782071692
395,Panama,1998,-22.371577432812
396,Papua New Guinea,1998,-21.9794923460019
397,Paraguay,1998,-22.7567694894632
398,Peru,1998,-22.5280556555906
399,Philippines,1998,-22.1186216629437
400,Pitcairn,1998,
401,Poland,1998,-21.2006244376559
402,Portugal,1998,-22.1979322275125
403,Puerto Rico,1998,
404,Qatar,1998,
405,Republic of Congo,1998,-22.1749015887358
406,Reunion,1998,
407,Romania,1998,-21.5618480858325
408,Russia,1998,-20.9383643258319
409,Rwanda,1998,-23.1476074230283
410,Saint Helena,1998,
411,Saint Kitts and Nevis,1998,-22.3955102728972
412,Saint Lucia,1998,-22.278699611801
413,Saint Pierre and Miquelon,1998,
414,Saint Vincent and the Grenadines,1998,-22.3008784151594
415,Samoa,1998,-22.3798321470764
416,San Marino,1998,
417,Sao Tome and Principe,1998,
418,Saudi Arabia,1998,-21.8704305682799
419,Senegal,1998,-22.2618181430135
420,Serbia,1998,-20.8224189714364
421,Seychelles,1998,-21.9317469318709
422,Sierra Leone,1998,-22.9876244641195
423,Singapore,1998,-22.2733567523208
424,Sint Maarten,1998,
425,Slovakia,1998,-21.4093200128874
426,Slovenia,1998,-21.6934847965784
427,Solomon Islands,1998,-22.4901872142969
428,Somalia,1998,-21.4159060268748
429,South Africa,1998,-21.0443465862178
430,South Korea,1998,-21.5159127235138
431,South Sudan,1998,
432,Spain,1998,-22.1746825145474
433,Sri Lanka,1998,-23.1064105651958
434,State of Palestine,1998,
435,Sudan,1998,-23.4316043519421
436,Suriname,1998,-21.5185288128276
437,Svalbard and Jan Mayen Islands,1998,
438,Swaziland,1998,-22.335422805057
439,Sweden,1998,-22.3564579747489
440,Switzerland,1998,-22.7644037744867
441,Syria,1998,-20.9813889741328
442,Taiwan,1998,-21.1575045784743
443,Tajikistan,1998,-21.5818794726758
444,Tanzania,1998,-23.5054480079844
445,Thailand,1998,-21.9369373869565
446,Timor-Leste,1998,
447,Togo,1998,-22.4784410708738
448,Tokelau,1998,
449,Tonga,1998,-22.2876689945409
450,Trinidad and Tobago,1998,-21.069389615242
451,Tunisia,1998,-21.9661787649382
452,Turkey,1998,-22.1523592632127
453,Turkmenistan,1998,-20.2771157617406
454,Turks and Caicos Islands,1998,
455,Tuvalu,1998,-22.1195967525225
456,Uganda,1998,-23.6232542556064
457,Ukraine,1998,-20.3975090796974
458,United Arab Emirates,1998,-21.9428455242929
459,United Kingdom,1998,-21.9618318232088
460,United States of America,1998,-21.5023669712555
461,United States Virgin Islands,1998,
462,Uruguay,1998,-22.7625013377881
463,Uzbekistan,1998,-20.0266019239703
464,Vanuatu,1998,-22.5312595355644
465,Venezuela,1998,-21.7254209974388
466,Viet Nam,1998,-22.1137050405444
467,Wallis and Futuna Islands,1998,
468,Western Sahara,1998,
469,Yemen,1998,-22.3960633121088
470,Zambia,1998,-22.946158085941
471,Zimbabwe,1998,-21.5619690528458
472,Afghanistan,1999,
473,Albania,1999,-22.3968675146526
474,Algeria,1999,-22.0945631071673
475,American Samoa,1999,
476,Andorra,1999,
477,Angola,1999,-22.2097742123562
478,Anguilla,1999,
479,Antigua and Barbuda,1999,-22.1889731206152
480,Argentina,1999,-22.0715847457508
481,Armenia,1999,-21.7380717926057
482,Aruba,1999,
483,Australia,1999,-21.3910863185372
484,Austria,1999,-22.2804220671812
485,Azerbaijan,1999,-20.5410721808078
486,Bahamas,1999,-22.2104737473058
487,Bahrain,1999,-21.3297537312177
488,Bangladesh,1999,-23.0165561745136
489,Barbados,1999,-21.8499023766888
490,Belarus,1999,-20.9481345966558
491,Belgium,1999,-21.8775126908065
492,Belize,1999,-22.1996810782715
493,Benin,1999,-22.7397008923501
494,Bermuda,1999,
495,Bhutan,1999,-22.3191092170602
496,Bolivia,1999,-22.2505868192163
497,Bosnia and Herzegovina,1999,-21.4837005205814
498,Botswana,1999,-22.2429124525927
499,Brazil,1999,-22.5640288931799
500,British Virgin Islands,1999,
501,Brunei Darussalam,1999,-22.5467136620758
502,Bulgaria,1999,-21.1817316238866
503,Burkina Faso,1999,-23.3008009894626
504,Burundi,1999,-23.6667490597701
505,Cambodia,1999,-22.8088015649593
506,Cameroon,1999,-22.4404784771211
507,Canada,1999,-21.4965574388369
508,Cape Verde,1999,-22.7989226642287
509,Cayman Islands,1999,
510,Central African Republic,1999,-23.204878700605
511,Chad,1999,-24.6716414097931
512,Chile,1999,-22.1047077431024
513,China,1999,-21.02490114156
514,Colombia,1999,-22.4430411341907
515,Comoros,1999,-22.7914305831702
516,Cook Islands,1999,
517,Costa Rica,1999,-22.7132983297474
518,Cote d'Ivoire,1999,-22.6920793485968
519,Croatia,1999,-22.0000858666133
520,Cuba,1999,-22.167899502833
521,Curacao,1999,
522,Cyprus,1999,-21.8125048581099
523,Czech Republic,1999,-21.3398845193785
524,Dem. Rep. Congo,1999,-23.7246376602586
525,Denmark,1999,-22.0721785167707
526,Djibouti,1999,-22.2988142007383
527,Dominica,1999,-22.6748380836858
528,Dominican Republic,1999,-22.0098935537856
529,Ecuador,1999,-22.2791904849849
530,Egypt,1999,-22.1673996387767
531,El Salvador,1999,-22.5863323110292
532,Equatorial Guinea,1999,-21.7397491059831
533,Eritrea,1999,-22.9228669905729
534,Estonia,1999,-20.997636185144
535,Ethiopia,1999,-23.2060016254898
536,Faeroe Islands,1999,
537,Falkland Islands,1999,
538,Fiji,1999,-22.6726200266095
539,Finland,1999,-21.8275328578377
540,France,1999,-22.4159745934575
541,French Guiana,1999,
542,French Polynesia,1999,
543,Gabon,1999,-22.2524049688217
544,Gambia,1999,-22.7892754024188
545,Georgia,1999,-21.8601787088076
546,Germany,1999,-21.9798140407398
547,Ghana,1999,-22.5275447272324
548,Gibraltar,1999,
549,Greece,1999,-21.7998838685989
550,Greenland,1999,
551,Grenada,1999,-22.3242054024685
552,Guadeloupe,1999,
553,Guam,1999,
554,Guatemala,1999,-22.8293497345703
555,Guinea,1999,-22.5403126772534
556,Guinea-Bissau,1999,-22.8347376767329
557,Guyana,1999,-21.4430664793848
558,Haiti,1999,-23.1138719137568
559,Holy See,1999,
560,Honduras,1999,-22.1670073873506
561,Hong Kong,1999,
562,Hungary,1999,-21.8242412061881
563,Iceland,1999,-22.1885649558723
564,India,1999,-21.7617970670334
565,Indonesia,1999,-22.1414459483735
566,Iran,1999,-21.5355914431319
567,Iraq,1999,-22.1921948413386
568,Ireland,1999,-21.9771412926663
569,Isle of Man,1999,
570,Israel,1999,-21.7514870922005
571,Italy,1999,-22.2490925318374
572,Jamaica,1999,-21.4606694253648
573,Japan,1999,-22.0000641497755
574,Jordan,1999,-21.5757623340231
575,Kazakhstan,1999,-20.8541894832488
576,Kenya,1999,-22.8922688396962
577,Kiribati,1999,-22.4169887978189
578,Kosovo,1999,
579,Kuwait,1999,-21.849828651875
580,Kyrgyzstan,1999,-21.4182448275724
581,Laos,1999,-23.2727860790399
582,Latvia,1999,-21.94179979809
583,Lebanon,1999,-21.5793015514889
584,Lesotho,1999,-21.2784106922078
585,Liberia,1999,-22.2914320503138
586,Libya,1999,-21.8058307513266
587,Liechtenstein,1999,
588,Lithuania,1999,-21.9346748889805
589,Luxembourg,1999,-22.1218005705386
590,Macao,1999,
591,Macedonia,1999,-21.3295714306463
592,Madagascar,1999,-23.14981579448
593,Malawi,1999,-23.055353259536
594,Malaysia,1999,-21.8609757860596
595,Maldives,1999,
596,Mali,1999,-23.7285648072635
