,country,year,population
501,Brunei Darussalam,1999,326289.0
502,Bulgaria,1999,8210624.0
503,Burkina Faso,1999,11282701.0
504,Burundi,1999,6278940.0
505,Cambodia,1999,11883636.0
506,Cameroon,1999,14891891.0
507,Canada,1999,30499200.0
508,Cape Verde,1999,426285.0
509,Cayman Islands,1999,39808.0
510,Central African Republic,1999,3676508.0
511,Chad,1999,8041846.0
512,Chile,1999,15076952.0
513,China,1999,1252735000.0
514,Colombia,1999,39819279.0
515,Comoros,1999,528848.0
516,Cook Islands,1999,
517,Costa Rica,1999,3848723.0
518,Cote d'Ivoire,1999,16300233.0
519,Croatia,1999,4554000.0
520,Cuba,1999,11110004.0
521,Curacao,1999,139428.0
522,Cyprus,1999,926050.0
523,Czech Republic,1999,10283860.0
524,Dem. Rep. Congo,1999,45898667.0
525,Denmark,1999,5321799.0
526,Djibouti,1999,700099.0
527,Dominica,1999,69903.0
528,Dominican Republic,1999,8429112.0
529,Ecuador,1999,12398691.0
530,Egypt,1999,68626664.0
531,El Salvador,1999,5825187.0
532,Equatorial Guinea,1999,589938.0
533,Eritrea,1999,3802000.0
534,Estonia,1999,1390244.0
535,Ethiopia,1999,64640054.0
536,Faeroe Islands,1999,46937.0
537,Falkland Islands,1999,
538,Fiji,1999,806494.0
539,Finland,1999,5165474.0
540,France,1999,60496715.0
541,French Guiana,1999,
542,French Polynesia,1999,232952.0
543,Gabon,1999,1200773.0
544,Gambia,1999,1195420.0
545,Georgia,1999,4452500.0
546,Germany,1999,82100243.0
547,Ghana,1999,18477612.0
548,Gibraltar,1999,30991.0
549,Greece,1999,10761698.0
550,Greenland,1999,56100.0
551,Grenada,1999,101442.0
552,Guadeloupe,1999,
553,Guam,1999,153953.0
554,Guatemala,1999,11387203.0
555,Guinea,1999,8653769.0
556,Guinea-Bissau,1999,1220794.0
557,Guyana,1999,755278.0
558,Haiti,1999,8404398.0
559,Holy See,1999,
560,Honduras,1999,6357221.0
561,Hong Kong,1999,6606500.0
562,Hungary,1999,10237530.0
563,Iceland,1999,277381.0
564,India,1999,1034539214.0
565,Indonesia,1999,208612556.0
566,Iran,1999,65062660.0
567,Iraq,1999,22878156.0
568,Ireland,1999,3754786.0
569,Isle of Man,1999,71952.0
570,Israel,1999,6125000.0
571,Italy,1999,56916317.0
572,Jamaica,1999,2634882.0
573,Japan,1999,126631000.0
574,Jordan,1999,5014899.0
575,Kazakhstan,1999,14928426.0
576,Kenya,1999,30600397.0
577,Kiribati,1999,82966.0
578,Kosovo,1999,1762000.0
579,Kuwait,1999,1957066.0
580,Kyrgyzstan,1999,4840400.0
581,Laos,1999,5241284.0
582,Latvia,1999,2390482.0
583,Lebanon,1999,3156646.0
584,Lesotho,1999,1850527.0
585,Liberia,1999,2734518.0
586,Libya,1999,5274163.0
587,Liechtenstein,1999,32842.0
588,Lithuania,1999,3524238.0
589,Luxembourg,1999,430475.0
590,Macao,1999,418604.0
591,Macedonia,1999,2024394.0
592,Madagascar,1999,15282521.0
593,Malawi,1999,11044356.0
594,Malaysia,1999,22656286.0
595,Maldives,1999,280000.0
596,Mali,1999,10663723.0
597,Malta,1999,387578.0
598,Marshall Islands,1999,52079.0
599,Martinique,1999,
600,Mauritania,1999,2628803.0
601,Mauritius,1999,1175267.0
602,Mayotte,1999,
603,Mexico,1999,100300579.0
604,Micronesia,1999,107816.0
605,Moldova,1999,3647001.0
606,Monaco,1999,31800.0
607,Mongolia,1999,2376162.0
608,Montenegro,1999,606001.0
609,Montserrat,1999,
610,Morocco,1999,28514798.0
611,Mozambique,1999,17584869.0
612,Myanmar,1999,45539435.0
613,Namibia,1999,1858042.0
614,Nauru,1999,10044.0
615,Nepal,1999,23305994.0
616,Netherlands,1999,15812088.0
617,Netherlands Antilles,1999,
618,New Caledonia,1999,209214.0
619,New Zealand,1999,3835100.0
620,Nicaragua,1999,4949660.0
621,Niger,1999,10947829.0
622,Nigeria,1999,119327073.0
623,Niue,1999,
624,Norfolk Island,1999,
625,North Korea,1999,22731985.0
626,Northern Mariana Islands,1999,67755.0
627,Norway,1999,4461913.0
628,Oman,1999,2254918.0
629,Pakistan,1999,135405584.0
630,Palau,1999,18879.0
631,Panama,1999,2971197.0
632,Papua New Guinea,1999,5430479.0
633,Paraguay,1999,5196937.0
634,Peru,1999,25561299.0
635,Philippines,1999,76335812.0
636,Pitcairn,1999,
637,Poland,1999,38660271.0
638,Portugal,1999,10217828.0
639,Puerto Rico,1999,3800081.0
640,Qatar,1999,569447.0
641,Republic of Congo,1999,3136344.0
642,Reunion,1999,
643,Romania,1999,22472040.0
644,Russia,1999,147214392.0
645,Rwanda,1999,7593239.0
646,Saint Helena,1999,
647,Saint Kitts and Nevis,1999,44824.0
648,Saint Lucia,1999,155172.0
649,Saint Pierre and Miquelon,1999,
650,Saint Vincent and the Grenadines,1999,107880.0
651,Samoa,1999,173755.0
652,San Marino,1999,27096.0
653,Sao Tome and Principe,1999,135886.0
654,Saudi Arabia,1999,20294406.0
655,Senegal,1999,9645957.0
656,Serbia,1999,7540401.0
657,Seychelles,1999,80410.0
658,Sierra Leone,1999,4437803.0
659,Singapore,1999,3958723.0
660,Sint Maarten,1999,31084.0
661,Slovakia,1999,5396020.0
662,Slovenia,1999,1983045.0
663,Solomon Islands,1999,401538.0
664,Somalia,1999,8720231.0
665,South Africa,1999,44233730.0
666,South Korea,1999,46616677.0
667,South Sudan,1999,6405864.0
668,Spain,1999,40386875.0
669,Sri Lanka,1999,18532000.0
670,State of Palestine,1999,2848431.0
671,Sudan,1999,26607042.0
672,Suriname,1999,467003.0
673,Svalbard and Jan Mayen Islands,1999,
674,Swaziland,1999,1045629.0
675,Sweden,1999,8857874.0
676,Switzerland,1999,7143991.0
677,Syria,1999,16016092.0
678,Taiwan,1999,22092000.0
679,Tajikistan,1999,6114886.0
680,Tanzania,1999,33291540.0
681,Thailand,1999,62306651.0
682,Timor-Leste,1999,863269.0
683,Togo,1999,4825704.0
684,Tokelau,1999,
685,Tonga,1999,97591.0
686,Trinidad and Tobago,1999,1264775.0
687,Tunisia,1999,9603742.0
688,Turkey,1999,62287326.0
689,Turkmenistan,1999,4466132.0
690,Turks and Caicos Islands,1999,17864.0
691,Tuvalu,1999,9345.0
692,Uganda,1999,23272995.0
693,Ukraine,1999,49673350.0
694,United Arab Emirates,1999,2988162.0
695,United Kingdom,1999,58682466.0
696,United States of America,1999,279040000.0
697,United States Virgin Islands,1999,108596.0
698,Uruguay,1999,3309318.0
699,Uzbekistan,1999,24311650.0
700,Vanuatu,1999,181345.0
701,Venezuela,1999,24028689.0
702,Viet Nam,1999,76596700.0
703,Wallis and Futuna Islands,1999,
704,Western Sahara,1999,
705,Yemen,1999,17378098.0
706,Zambia,1999,10239714.0
707,Zimbabwe,1999,12064537.0
708,Afghanistan,2000,20093756.0
709,Albania,2000,3089027.0
710,Algeria,2000,31183660.0
711,American Samoa,2000,57521.0
712,Andorra,2000,65390.0
713,Angola,2000,16440924.0
714,Anguilla,2000,
715,Antigua and Barbuda,2000,83584.0
716,Argentina,2000,37057452.0
717,Armenia,2000,3069588.0
718,Aruba,2000,90853.0
719,Australia,2000,19153000.0
720,Austria,2000,8011566.0
721,Azerbaijan,2000,8048600.0
722,Bahamas,2000,297890.0
723,Bahrain,2000,664614.0
724,Bangladesh,2000,131581243.0
725,Barbados,2000,269847.0
726,Belarus,2000,9979610.0
727,Belgium,2000,10251250.0
728,Belize,2000,247315.0
729,Benin,2000,6865951.0
730,Bermuda,2000,61833.0
731,Bhutan,2000,573416.0
732,Bolivia,2000,8339512.0
733,Bosnia and Herzegovina,2000,3766706.0
734,Botswana,2000,1728340.0
735,Brazil,2000,175287587.0
736,British Virgin Islands,2000,20645.0
737,Brunei Darussalam,2000,333241.0
738,Bulgaria,2000,8170172.0
739,Burkina Faso,2000,11607942.0
740,Burundi,2000,6400706.0
741,Cambodia,2000,12152354.0
742,Cameroon,2000,15274234.0
743,Canada,2000,30769700.0
744,Cape Verde,2000,435079.0
745,Cayman Islands,2000,41687.0
746,Central African Republic,2000,3754986.0
747,Chad,2000,8342559.0
748,Chile,2000,15262754.0
749,China,2000,1262645000.0
750,Colombia,2000,40403958.0
751,Comoros,2000,542357.0
752,Cook Islands,2000,
753,Costa Rica,2000,3925443.0
754,Cote d'Ivoire,2000,16686561.0
755,Croatia,2000,4426000.0
756,Cuba,2000,11150736.0
757,Curacao,2000,133860.0
758,Cyprus,2000,943286.0
759,Czech Republic,2000,10255063.0
760,Dem. Rep. Congo,2000,47076387.0
761,Denmark,2000,5339616.0
762,Djibouti,2000,717584.0
763,Dominica,2000,69676.0
764,Dominican Republic,2000,8562622.0
765,Ecuador,2000,12628596.0
766,Egypt,2000,69905988.0
767,El Salvador,2000,5867626.0
768,Equatorial Guinea,2000,614323.0
769,Eritrea,2000,3939000.0
770,Estonia,2000,1396985.0
771,Ethiopia,2000,66537331.0
772,Faeroe Islands,2000,47258.0
773,Falkland Islands,2000,
774,Fiji,2000,811223.0
775,Finland,2000,5176209.0
776,France,2000,60912498.0
777,French Guiana,2000,
778,French Polynesia,2000,237258.0
779,Gabon,2000,1231122.0
780,Gambia,2000,1231844.0
781,Georgia,2000,4418300.0
782,Germany,2000,82211508.0
783,Ghana,2000,18938762.0
784,Gibraltar,2000,31180.0
785,Greece,2000,10805808.0
786,Greenland,2000,56200.0
787,Grenada,2000,101619.0
788,Guadeloupe,2000,
789,Guam,2000,155329.0
790,Guatemala,2000,11650743.0
791,Guinea,2000,8808546.0
792,Guinea-Bissau,2000,1243229.0
793,Guyana,2000,753301.0
794,Haiti,2000,8549200.0
795,Holy See,2000,
796,Honduras,2000,6524283.0
797,Hong Kong,2000,6665000.0
798,Hungary,2000,10210971.0
799,Iceland,2000,281205.0
800,India,2000,1053050912.0
801,Indonesia,2000,211540429.0
802,Iran,2000,66131854.0
803,Iraq,2000,23565413.0
804,Ireland,2000,3805174.0
805,Isle of Man,2000,72554.0
806,Israel,2000,6289000.0
807,Italy,2000,56942108.0
808,Jamaica,2000,2656864.0
809,Japan,2000,126843000.0
810,Jordan,2000,5103130.0
811,Kazakhstan,2000,14883626.0
812,Kenya,2000,31450483.0
813,Kiribati,2000,84406.0
814,Kosovo,2000,1700000.0
815,Kuwait,2000,2050741.0
816,Kyrgyzstan,2000,4898400.0
817,Laos,2000,5329304.0
818,Latvia,2000,2367550.0
819,Lebanon,2000,3235366.0
820,Lesotho,2000,1868699.0
821,Liberia,2000,2884522.0
822,Libya,2000,5355751.0
823,Liechtenstein,2000,33286.0
824,Lithuania,2000,3499536.0
825,Luxembourg,2000,436300.0
826,Macao,2000,427979.0
827,Macedonia,2000,2034819.0
828,Madagascar,2000,15766806.0
829,Malawi,2000,11376172.0
830,Malaysia,2000,23185608.0
831,Maldives,2000,286000.0
832,Mali,2000,10967690.0
833,Malta,2000,390087.0
834,Marshall Islands,2000,52159.0
835,Martinique,2000,
836,Mauritania,2000,2709359.0
837,Mauritius,2000,1186873.0
838,Mayotte,2000,
839,Mexico,2000,101719673.0
840,Micronesia,2000,107432.0
841,Moldova,2000,3639592.0
842,Monaco,2000,32082.0
843,Mongolia,2000,2397436.0
844,Montenegro,2000,604950.0
845,Montserrat,2000,
846,Morocco,2000,28849621.0
847,Mozambique,2000,18067687.0
848,Myanmar,2000,46095462.0
849,Namibia,2000,1899257.0
