,country,year,CDA,CHA,FGA,NDA,BCA
3392,Iraq,2010,51.277258984490096,40.505086816223795,100.0,42.594009744040605,100.0
3393,Ireland,2010,62.49269539981749,100.0,92.4589126780802,100.0,78.89207413117971
3395,Israel,2010,49.368909451411504,19.5865391319243,89.9899376194474,88.5238170288027,55.0454553386452
3396,Italy,2010,61.3546107168291,100.0,90.21860338153971,100.0,73.96950138886508
3397,Jamaica,2010,74.9083066806353,100.0,80.2858584050711,100.0,71.5144670088981
3398,Japan,2010,59.44168724401239,100.0,90.9309886240554,100.0,100.0
3400,Jordan,2010,36.9982171969373,19.161372656041102,73.4385530306312,71.7967780137076,41.312789011743
3401,Kazakhstan,2010,16.4253534160375,12.584868711656,64.37340903166721,41.6681263426999,7.80271126485849
3402,Kenya,2010,29.001444587883302,0.0,78.7800045678955,0.0,27.095367119743
3405,Kuwait,2010,25.191969086884303,69.7176578047616,84.2116946747235,17.570992379644498,0.0
3406,Kyrgyzstan,2010,27.0257869968507,53.9838705169893,78.8881483260244,39.356454753363295,3.0855411567377597
3408,Latvia,2010,47.758517808928296,80.9225998310083,75.8766104941709,49.71592727619,36.1254980305188
3411,Liberia,2010,38.94233108323421,4.31868538012283,68.9765518167032,12.7054892035775,36.3678740479231
3412,Libya,2010,42.859828380180204,47.0281930949076,89.07413880056922,9.78961960607599,44.971538343991604
3414,Lithuania,2010,51.3523621740596,94.26318363078171,75.31275889364359,47.744301590410394,9.29444598705574
3415,Luxembourg,2010,48.2580901700628,87.74289705328421,85.32144088725741,43.8482827015265,37.5615234191684
3417,Madagascar,2010,43.03619038839379,44.672409205117795,82.9432943590632,48.608939765896594,41.9504287546302
3419,Malaysia,2010,26.947391619119802,45.381647482272996,88.4816940128359,0.0,51.931433756203795
3422,Malta,2010,54.4743925029171,15.0816693583374,83.6486917396904,90.4442971742771,0.0
3424,Mauritania,2010,17.5669022602764,64.1425832142114,67.58006725072039,67.24763196343021,32.5884371801857
3425,Mauritius,2010,35.4476627621311,31.9488395328865,77.9714224299635,70.67310910742391,67.8546514875574
3426,Mexico,2010,42.4660640278334,58.8252215750918,67.0678597318004,26.163633352132802,45.8547556851633
3428,Moldova,2010,43.7829857428117,100.0,75.0022566608578,100.0,46.16928171426721
3430,Mongolia,2010,15.876560524475998,0.0,53.6683255023288,46.0227114698182,0.0
3431,Montenegro,2010,47.566601842126,100.0,82.88616246021209,100.0,0.0
3433,Mozambique,2010,21.9299852144171,33.6981257530335,85.21398457793059,46.61881455012529,38.7908998722871
3438,Netherlands,2010,58.227587746561795,100.0,92.3201567396528,100.0,52.639470214934505
3440,New Zealand,2010,63.355829993619395,81.7465404289659,87.35089513033779,90.70267424405772,64.09860355167321
3443,Nigeria,2010,64.8895770280877,100.0,81.145282840827,54.3400075941288,39.65236396951529
3446,North Macedonia,2010,91.66447255323949,48.29434014813311,81.3598344290256,73.43218540545871,23.639679907662803
3447,Norway,2010,36.23840912229279,79.57710287956891,100.0,100.0,65.659443427771
3448,Oman,2010,4.15267204206975,72.6690194635257,66.3736697404789,9.70481133557236,24.146644756344
3449,Pakistan,2010,29.433079873842804,34.3859100074947,100.0,26.486035889257302,48.21085126573399
3452,Papua New Guinea,2010,27.625026907906697,5.568318870717451,64.2143863803298,77.3236234837605,60.9745116600535
3454,Peru,2010,7.7065636043408094,49.3824402804589,78.2360949850177,48.683196790366104,26.2475388136264
3455,Philippines,2010,48.848939798691305,58.3002378743863,90.707234153085,68.2897377921514,100.0
3456,Poland,2010,54.8611387794311,100.0,95.0365852204188,61.4246195858543,15.536185388866901
3457,Portugal,2010,78.1745713542769,82.71349482223391,62.048043926797895,99.827076513897,100.0
3459,Republic of Congo,2010,0.0,40.710516414025506,73.75258112261271,0.0,0.0
3460,Romania,2010,72.8570549707445,77.0147147391088,89.2284564281563,67.3503025610839,15.935847408158601
3461,Russia,2010,53.3207177822788,60.7490261502629,92.80759099426442,64.42067965822899,60.36713830477979
3462,Rwanda,2010,51.193572487077596,0.0,59.97096757236999,0.0,50.0197733705404
3464,Saint Kitts and Nevis,2010,45.102040512677,78.45332020307991,76.2009334694294,98.159292176156,16.5770810746978
3465,Saint Lucia,2010,47.5989827926281,77.71858747103609,96.5040966901589,72.9248070231862,58.66387623702539
3466,Saint Vincent and the Grenadines,2010,35.079774515506394,76.192663487831,79.6679761286318,94.82308426385549,49.53495370391789
3470,Saudi Arabia,2010,25.5289275045637,42.3121004166536,85.0430446520927,67.63438294742829,0.0
3472,Serbia,2010,53.64980703156179,100.0,82.879283480557,69.0249053897239,57.9500573686388
3474,Sierra Leone,2010,45.7939542646776,0.0,55.5208777466839,0.0,35.0707229003618
3475,Singapore,2010,45.5251954363204,25.389909520951,88.8896072939102,100.0,37.766105000867206
3477,Slovakia,2010,67.4920034968811,88.97546784908171,73.3289246149663,82.5294340502453,7.8720020356383005
3478,Slovenia,2010,54.8762546759966,95.95380489493641,86.5591971488566,88.0230227022865,1.3728225661566102
3481,South Africa,2010,36.8993219202456,66.46559372261889,90.47578826065072,86.1504285994578,10.6448027234175
3482,South Korea,2010,45.941512495736,88.2486300791972,100.0,100.0,100.0
3484,Spain,2010,60.2261224498465,81.64854469334699,88.4532925699082,100.0,72.753421813125
3488,Suriname,2010,45.0648684539693,76.2750083945032,100.0,34.1205845235344,50.1449781566442
3489,Sweden,2010,68.41281951548329,100.0,92.41150953624121,0.0,77.208898474524
3490,Switzerland,2010,61.08437465031489,0.0,87.30706265603149,77.3098501384854,74.59226210585379
3492,Taiwan,2010,48.45004703986079,87.4945621488786,93.2630052341739,83.50369802006591,62.24042760511
3493,Tajikistan,2010,41.8075264967934,0.0,97.0790581958578,0.0,27.1367411607439
3495,Thailand,2010,36.0800609586077,40.2681470456607,87.79183988926759,15.9390125490466,25.8207585481395
3501,Turkey,2010,28.461940278754803,53.9232966749259,77.97246009623429,62.14049961857571,0.17414478735970804
